Segment_ID,Ward,Road_Material,Road_Age_Years,Lane_Count,Drainage_Score,Subsurface_Quality_Index,Heavy_Vehicle_Ratio,Last_Repair_Days_Ago,Surface_Roughness_Index,Nearby_Construction_Flag,Repair_Backlog_Score,Latitude,Longitude
SEG_030,Wanowrie,Concrete,11.1,4,3,0.94,0.125,700,2.34,1,0.244,18.49491,73.8866
SEG_031,Kothrud,Asphalt,18.7,2,4,0.858,0.02,1079,3.21,1,0.913,18.49799,73.83056
SEG_032,Kasba Peth,Concrete,15.6,4,4,0.23,0.045,136,4.71,0,0.924,18.52431,73.87121
SEG_033,Aundh,Asphalt,9.6,2,4,0.498,0.154,1060,2.6,0,0.843,18.55393,73.82295
SEG_034,Bibwewadi,Asphalt,7.5,2,4,0.239,0.024,515,1.39,0,0.978,18.48768,73.85072
SEG_035,Kasba Peth,Asphalt,19.7,4,1,0.287,0.279,657,2.2,1,0.745,18.51602,73.8647
SEG_036,Bibwewadi,Concrete,14.4,4,4,0.74,0.083,223,2.27,0,0.765,18.47921,73.86858
SEG_037,Bibwewadi,Asphalt,19.0,2,2,0.771,0.121,757,1.09,0,0.763,18.46717,73.86759
SEG_038,Kothrud,Asphalt,2.4,4,4,0.819,0.158,243,1.23,0,0.481,18.49099,73.8211
SEG_039,Baner,Asphalt,17.0,4,3,0.892,0.167,349,3.58,1,0.456,18.56829,73.77445
SEG_040,Shivajinagar,Asphalt,12.7,4,5,0.792,0.001,874,2.03,0,0.24,18.52823,73.84806
SEG_041,Kondhwa,Concrete,2.4,4,2,0.841,0.045,89,4.8,1,0.645,18.47892,73.8978
SEG_042,Kondhwa,Asphalt,11.8,4,5,0.239,0.345,553,1.6,1,0.289,18.47786,73.90822
SEG_043,Hadapsar,Asphalt,13.7,2,5,0.388,0.0,725,0.95,0,0.258,18.50103,73.95724
SEG_044,Kasba Peth,Asphalt,0.2,4,2,0.698,0.203,184,3.89,1,0.586,18.51036,73.85484
SEG_045,Yerawada,Concrete,9.1,4,3,0.887,0.196,374,4.46,0,0.41,18.56288,73.91147
SEG_046,Wanowrie,Asphalt,16.5,4,3,0.204,0.133,431,1.75,0,0.219,18.47968,73.88498
SEG_047,Bibwewadi,Asphalt,5.9,4,4,0.612,0.173,806,1.41,0,0.816,18.47739,73.86577
SEG_048,Baner,Asphalt,9.2,2,4,0.742,0.312,1172,1.34,1,0.861,18.5673,73.78733
SEG_049,Kondhwa,Interlock,8.8,4,5,0.224,0.336,1008,2.85,0,0.168,18.45997,73.88929
SEG_050,Kondhwa,Interlock,6.0,4,2,0.521,0.104,252,2.61,0,0.008,18.46886,73.91137
SEG_051,Shivajinagar,Concrete,18.4,6,3,0.917,0.129,51,1.67,0,0.336,18.53544,73.84395
SEG_052,Hadapsar,Asphalt,15.6,6,3,0.737,0.097,90,0.7,0,0.798,18.49065,73.9553
SEG_053,Wanowrie,Interlock,2.2,4,5,0.39,0.192,726,2.67,0,0.839,18.49895,73.87137
SEG_054,Wanowrie,Concrete,19.9,4,2,0.882,0.273,212,4.82,0,0.138,18.4742,73.88702
SEG_055,Kasba Peth,Concrete,17.6,4,3,0.478,0.091,300,3.44,0,0.774,18.51292,73.87344
SEG_056,Aundh,Asphalt,5.7,2,1,0.883,0.132,1021,2.73,1,0.116,18.55931,73.82375
SEG_057,Shivajinagar,Asphalt,16.7,6,5,0.439,0.372,1052,1.0,0,0.39,18.54618,73.84197
SEG_058,Kondhwa,Asphalt,2.1,4,2,0.672,0.019,1011,1.64,0,0.999,18.45711,73.87568
SEG_059,Baner,Interlock,20.0,2,2,0.518,0.184,326,1.83,0,0.193,18.5517,73.77089
SEG_060,Yerawada,Asphalt,13.3,2,3,0.42,0.285,755,3.94,0,0.154,18.53966,73.88533
SEG_061,Kondhwa,Asphalt,13.0,6,3,0.909,0.06,744,4.45,0,0.423,18.44971,73.89756
SEG_062,Hadapsar,Asphalt,1.8,2,5,0.35,0.019,246,4.56,0,0.62,18.51063,73.93768
SEG_063,Yerawada,Asphalt,17.9,2,3,0.268,0.055,677,4.93,1,0.933,18.54754,73.89919
SEG_064,Wanowrie,Asphalt,0.6,2,3,0.474,0.368,644,4.92,0,0.981,18.50088,73.89524
SEG_065,Hadapsar,Concrete,4.8,2,1,0.774,0.004,493,4.79,0,0.07,18.48196,73.92707
SEG_066,Yerawada,Concrete,2.9,2,1,0.846,0.075,909,0.82,0,0.138,18.5451,73.88847
SEG_067,Hadapsar,Concrete,15.5,4,2,0.999,0.013,822,1.12,1,0.791,18.50571,73.93881
SEG_068,Kasba Peth,Asphalt,4.0,2,5,0.437,0.044,653,1.87,0,0.271,18.51099,73.86171
SEG_069,Wanowrie,Concrete,18.2,6,5,0.526,0.248,879,2.99,0,0.885,18.48928,73.87125
SEG_070,Kondhwa,Asphalt,13.1,6,4,0.309,0.097,922,0.94,1,0.663,18.47467,73.8706
SEG_071,Shivajinagar,Concrete,0.7,2,4,0.66,0.228,693,4.31,0,0.112,18.54627,73.84038
SEG_072,Wanowrie,Asphalt,0.1,2,2,0.998,0.236,343,3.28,1,0.833,18.49984,73.89688
SEG_073,Shivajinagar,Asphalt,1.0,4,1,0.761,0.34,917,2.94,0,0.176,18.54753,73.85725
SEG_074,Baner,Asphalt,12.1,2,1,0.676,0.002,869,1.24,0,0.423,18.57294,73.79698
SEG_075,Wanowrie,Asphalt,16.0,2,2,0.514,0.341,1180,1.64,0,0.552,18.49771,73.87231
SEG_076,Hadapsar,Asphalt,4.8,6,2,0.932,0.248,205,1.22,1,0.501,18.50412,73.94371
SEG_077,Kothrud,Asphalt,17.0,6,1,0.598,0.065,520,4.33,0,0.686,18.5243,73.81759
SEG_078,Aundh,Asphalt,1.1,4,2,0.307,0.309,1111,3.13,0,0.653,18.56155,73.84358
SEG_079,Baner,Asphalt,16.0,2,1,0.492,0.342,632,3.81,0,0.992,18.55653,73.77587
SEG_080,Yerawada,Asphalt,18.6,4,4,0.254,0.102,1132,1.83,0,0.999,18.55234,73.89551
SEG_081,Wanowrie,Interlock,15.4,4,5,0.362,0.368,44,2.17,0,0.516,18.47967,73.87976
SEG_082,Shivajinagar,Asphalt,14.0,2,4,0.214,0.182,71,2.32,0,0.095,18.53343,73.84586
SEG_083,Bibwewadi,Asphalt,16.8,4,3,0.563,0.241,961,3.92,1,0.728,18.47014,73.85994
SEG_084,Baner,Asphalt,0.8,2,3,0.708,0.394,449,3.98,0,0.977,18.5575,73.80985
SEG_085,Kondhwa,Asphalt,4.0,2,2,0.475,0.145,638,1.43,0,0.318,18.47732,73.89205
SEG_086,Kasba Peth,Interlock,2.5,4,1,0.536,0.325,530,4.74,0,0.461,18.51657,73.86592
SEG_087,Hadapsar,Asphalt,10.1,2,3,0.967,0.127,507,1.04,0,0.425,18.51819,73.95063
SEG_088,Kondhwa,Concrete,14.9,2,3,0.802,0.32,1129,4.53,0,0.051,18.47374,73.89464
SEG_089,Bibwewadi,Asphalt,12.6,6,1,0.633,0.24,140,0.95,0,0.672,18.47825,73.84722
SEG_090,Wanowrie,Asphalt,17.0,6,3,0.428,0.087,933,1.69,0,0.353,18.49625,73.87448
SEG_091,Bibwewadi,Asphalt,3.1,4,2,0.918,0.166,1070,4.31,0,0.787,18.48023,73.86554
SEG_092,Bibwewadi,Interlock,14.7,6,1,0.388,0.127,799,1.31,0,0.832,18.46223,73.85766
SEG_093,Hadapsar,Asphalt,3.9,6,4,0.46,0.031,492,2.36,0,0.821,18.48428,73.95429
SEG_094,Bibwewadi,Asphalt,5.4,2,3,0.927,0.012,217,2.52,0,0.417,18.4607,73.86795
SEG_095,Kothrud,Asphalt,14.2,4,4,0.624,0.139,828,1.6,0,0.322,18.4955,73.83644
SEG_096,Kothrud,Asphalt,19.6,2,4,0.794,0.008,578,3.7,0,0.749,18.52204,73.82256
SEG_097,Baner,Asphalt,12.2,2,5,0.673,0.066,204,4.33,1,0.801,18.57304,73.80339
SEG_098,Baner,Asphalt,1.1,4,5,0.723,0.29,450,4.44,1,0.491,18.57827,73.78064
SEG_099,Shivajinagar,Asphalt,12.3,4,4,0.44,0.283,1155,2.03,0,0.893,18.53857,73.84028
